DEBUG 2024-12-06 14:16:03,665 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1730002024.0108664
DEBUG 2024-12-06 14:16:03,665 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1730002025.823223
DEBUG 2024-12-06 14:16:03,666 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\cache.py first seen with mtime 1730002025.9472604
DEBUG 2024-12-06 14:16:03,666 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\urllib3\connection.py first seen with mtime 1731273656.6237657
DEBUG 2024-12-06 14:16:03,666 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1730002025.9287522
DEBUG 2024-12-06 14:16:03,666 autoreload File C:\Python\Lib\encodings\utf_8.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,667 autoreload File C:\Python\Lib\importlib\metadata\__init__.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,667 autoreload File C:\Python\Lib\operator.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,667 autoreload File C:\Python\DLLs\select.pyd first seen with mtime 1712688662.0
DEBUG 2024-12-06 14:16:03,667 autoreload File C:\Python\Lib\signal.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,667 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1730002025.5611548
DEBUG 2024-12-06 14:16:03,667 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1730002025.844733
DEBUG 2024-12-06 14:16:03,668 autoreload File C:\Python\Lib\importlib\resources\_common.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,668 autoreload File C:\Python\Lib\decimal.py first seen with mtime 1712688618.0
